Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
05 kwi;Inter Mediolan vs AS Roma;European Championship U-21 1;1.61 (1);55.5;18.8;25.7;1;;;
05 kwi;Al Quwa Al Jawiya vs Al Naft;Iraq 1;1.61 (1);54.9;19.6;25.5;1;;;
05 kwi;KACM vs FAR Rabat;Morocco 1;1.66 (2);24.8;54.7;20.5;2;;;
05 kwi;Palermo vs Avellino;Italy 2;1.55 (1);54.6;14.2;31.2;1;;;
05 kwi;Zemun vs Priboj;Serbia 2;1.6 (1);54.5;17.5;28.0;1;;;
05 kwi;Sumqayit vs FK Neftczi;Azerbaijan 1;1.8 (2);21.9;53.8;24.3;2;;;
05 kwi;Hearts of Oak vs Young Apostles;Ghana 1;1.75 (1);52.8;19.5;27.7;1;;;
05 kwi;Banik Ostrawa vs Slavia Praga;Czech Republic 1;1.53 (2);15.7;51.3;33.0;2;;;
05 kwi;Madura United vs Pusamania Borneo;Indonesia 1;1.75 (2);26.9;50.1;22.9;2;;;
05 kwi;Eintracht Frankfurt vs FC Köln;Germany 1;1.95 (1);49.4;23.2;27.4;1;;;
05 kwi;Warri Wolves FC vs Rivers United FC;Nigeria 1;2.25 (1);47.8;25.3;26.9;1;;;
05 kwi;Hradec Kralove vs Bohemians 1905;Czech Republic 1;2.0 (1);47.4;25.6;27.0;1;;;
05 kwi;Jedinstvo Ub vs Dubocica;Serbia 2;2.05 (1);45.9;26.3;27.8;1;;;
05 kwi;Djoliba vs Stade Malien Bamako;Mali 1;2.15 (1);45.4;30.2;24.4;1;;;
05 kwi;SC Paderborn 07 II vs Oberhausen;Germany 4;2.2 (2);31.2;44.9;23.9;2;;;
05 kwi;AS Monaco vs Olympique Marsylia;France 1;2.1 (1);44.8;29.0;26.2;1;;;
05 kwi;Real Saragossa vs Mirandes;Spain 2;2.0 (1);44.6;25.4;30.0;1;;;
05 kwi;Cremonese vs Bologna;European Championship U-21 1;2.2 (2);24.9;44.6;30.5;2;;;
05 kwi;Panthere FC vs Aigle Royal;Cameroon 1;2.0 (1);44.3;24.6;31.0;1;;;
05 kwi;Mictlán vs CSD Comunicaciones;Guatemala 1;2.2 (1);44.2;27.1;28.6;1;;;
05 kwi;Soroksar SC vs BVSC;Hungary 2;2.25 (2);24.7;32.3;43.0;X;;;
05 kwi;Algeciras vs UD Ibiza;Spain 3;2.4 (1);41.5;31.8;26.7;1;;;
05 kwi;Real Murcia vs Atlético Madrid II;Spain 3;3.3 (2);36.4;22.2;41.4;X;;;
05 kwi;Bekescsaba vs Aqvital FC Csakvar;Hungary 2;3.1 (2);41.2;28.0;30.8;1;;;
05 kwi;Kallon vs Bo Rangers;Sierra Leone 1;2.75 (2);40.6;36.5;22.9;1;;;
05 kwi;Gorilla vs Musanze;Rwanda 1;3.3 (2);40.2;32.3;27.4;1;;;
05 kwi;Sportivo Ameliano vs Luqueno;Paraguay 1;2.05 (1);40.0;34.4;25.5;1;;;
05 kwi;FC Kapaz vs FK Gabala;Azerbaijan 1;2.62 (1);23.0;38.6;38.4;2;;;
05 kwi;Hertha Berlin II vs Magdeburg II;Germany 4;2.4 (2);38.2;33.5;28.3;1;;;
06 kwi;Central Cordoba de Santiago vs Newells Old Boys;Argentina 1;2.45 (1);37.9;35.6;26.5;1;;;
