Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Consensus;KNN_%1;KNN_%X;KNN_%2;XGB_%1;XGB_%X;XGB_%2;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
20:00;Leeds United U21 vs Leicester City Academy;England Reserve 1;2.0 (2);25.0;46.6;28.4;2;✅ OBA ZGODNE (2);20.0;28.0;52.0;28.4;28.6;43.1;2;2:3;WYGRANA;100.0
21:30;Sarmiento vs Gimnasia LP;Argentina 1;2.45 (1);46.4;29.0;24.5;1;✅ OBA ZGODNE (1);48.0;20.0;32.0;45.4;27.5;27.1;2;1:2;PRZEGRANA;-100.0
17:30;OTR vs Unisport;Togo 1;3.0 (2);46.2;29.2;24.6;1;✅ OBA ZGODNE (1);56.0;20.0;24.0;39.6;27.7;32.7;1;2:1;WYGRANA;0.0
16:00;Bylis vs Dinamo Tirana;Albania 1;3.5 (1);21.5;45.1;33.4;2;✅ OBA ZGODNE (2);16.0;40.0;44.0;25.2;29.0;45.8;X;1:1;PRZEGRANA;-100.0
20:30;Renate vs Pro Vercelli;Italy 3;2.1 (1);44.8;29.8;25.4;1;✅ OBA ZGODNE (1);44.0;24.0;32.0;45.3;26.3;28.4;1;2:1;WYGRANA;110.0
jutro 01:05;Patriotas vs Real Cartagena;Colombia 2;2.9 (2);44.6;28.3;27.2;1;✅ OBA ZGODNE (1);44.0;28.0;28.0;44.9;26.6;28.4;Brak/Odwolany;-;Odwolany;0.0
16:00;Etoile Metlaoui vs Marsa;Tunisia 1;2.4 (1);41.9;27.3;30.8;1;✅ OBA ZGODNE (1);40.0;32.0;28.0;43.1;30.0;26.9;1;1:0;WYGRANA;140.0
20:00;Jong FC Utrecht vs Vitesse;Netherlands 2;2.37 (2);41.8;29.1;29.1;1;⚠️ RÓŻNICA (KNN:1 XGB:2);48.0;36.0;16.0;37.6;24.5;37.9;2;0:3;PRZEGRANA;-100.0
20:30;AZ Picerno ASD vs Cosenza;Italy 3;2.8 (1);29.9;41.7;28.5;2;✅ OBA ZGODNE (2);28.0;28.0;44.0;31.1;28.8;40.1;1;3:1;PRZEGRANA;-100.0
20:00;Reading U21 vs Derby County U21;England Reserve 1;3.5 (2);41.6;31.3;27.1;1;✅ OBA ZGODNE (1);40.0;24.0;36.0;42.7;29.1;28.2;1;4:1;WYGRANA;0.0
20:45;Fiorentina vs Lazio Rzym;European Championship U-21 1;3.4 (2);41.6;27.9;30.5;1;✅ OBA ZGODNE (1);44.0;32.0;24.0;40.0;29.5;30.5;1;1:0;WYGRANA;0.0
20:30;Valladolid vs Eibar;Spain 2;3.2 (2);40.5;32.9;26.7;1;✅ OBA ZGODNE (1);44.0;24.0;32.0;38.1;28.5;33.4;X;0:0;PRZEGRANA;-100.0
20:00;Varda SE vs Debreceni VSC;Hungary 1;2.8 (1);40.1;34.4;25.5;1;✅ OBA ZGODNE (1);40.0;20.0;40.0;40.1;29.2;30.7;X;0:0;PRZEGRANA;-100.0
20:00;Newcastle United U21 vs Wolverhampton Wanderers Academy;England Reserve 1;2.55 (2);34.5;38.5;27.0;2;✅ OBA ZGODNE (2);36.0;20.0;44.0;33.4;31.7;34.9;X;1:1;PRZEGRANA;-100.0
21:15;Tondela vs Gil Vicente;Portugal 1;4.1 (1);28.0;37.9;34.0;2;⚠️ RÓŻNICA (KNN:X XGB:2);28.0;44.0;28.0;28.1;27.3;44.6;X;2:2;PRZEGRANA;-100.0
20:45;Rodez vs Troyes;France 2;3.2 (1);30.6;31.7;37.7;X;⚠️ RÓŻNICA (KNN:X XGB:2);24.0;52.0;24.0;35.0;28.2;36.8;1;2:1;PRZEGRANA;-100.0
20:30;Crotone vs Catania;Italy 3;2.5 (1);36.0;37.5;26.5;2;⚠️ RÓŻNICA (KNN:2 XGB:1);36.0;24.0;40.0;36.0;28.2;35.8;1;2:0;PRZEGRANA;-100.0
11:45;Etar vs Dunav Ruse;Bulgaria 2;3.1 (1);36.6;35.1;28.3;1;⚠️ RÓŻNICA (KNN:2 XGB:1);32.0;28.0;40.0;39.7;28.5;31.8;X;0:0;PRZEGRANA;-100.0
21:30;Defensa y Justicia vs Talleres;Argentina 1;2.9 (1);29.2;36.3;34.5;2;⚠️ RÓŻNICA (KNN:X XGB:2);24.0;44.0;32.0;32.7;28.2;39.1;2;1:2;WYGRANA;0.0
15:00;Liteks Łowecz vs Lewski Sofia;Bulgaria 1;2.7 (1);28.2;36.1;35.6;2;⚠️ RÓŻNICA (KNN:X XGB:1);16.0;48.0;36.0;36.4;27.4;36.2;X;1:1;PRZEGRANA;-100.0
21:00;Levante vs Getafe;Spain 1;2.87 (2);33.3;30.8;35.9;X;⚠️ RÓŻNICA (KNN:X XGB:1);28.0;48.0;24.0;36.8;27.8;35.4;1;1:0;PRZEGRANA;-100.0
