Godzina;Mecz;Liga;Kurs [Faworyt];% Over 1.5;% Over 2.5;% BTTS;Sugestia_OU;Wynik_Gole;Over_05_Real;Over_15_Real;Over_25_Real;BTTS_Real;Status_Over_15;Status_Over_25;Status_BTTS;Zysk_Over_15;Zysk_Over_25;Zysk_BTTS
19 kwi;Inter Club d'Escaldes vs FC Ordino;Andorra 1;1.33 (1);77.7;56.8;49.6;Over 1.5 (78%);4:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;Nie typowano;25.0;80.0;0.0
19 kwi;Coban Imperial vs Deportivo Achuapa;Guatemala 1;1.42 (1);77.5;56.7;50.7;Over 1.5 (78%);3:1;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;80.0;75.0
19 kwi;Mixco vs Aurora;Guatemala 1;1.44 (1);75.0;55.5;51.5;Over 1.5 (75%);4:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;PRZEGRANA;25.0;80.0;-100.0
19 kwi;Audace Cerignola vs Team Altamura;Italy 3;1.55 (1);74.8;54.1;51.2;Over 1.5 (75%);1:1;TAK;TAK;NIE;TAK;WYGRANA;PRZEGRANA;WYGRANA;25.0;-100.0;75.0
19 kwi;Jihlava vs Brno;Czech Republic 2;1.57 (2);75.0;53.8;52.4;Over 1.5 (75%);1:2;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;80.0;75.0
19 kwi;Schalke 04 vs Preußen Muenster;Germany 2;1.53 (1);71.8;53.5;52.0;Over 1.5 (72%);4:1;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;80.0;75.0
19 kwi;Lentigione vs Progresso;Italy 4;1.45 (1);73.8;53.3;49.7;Over 1.5 (74%);1:2;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;Nie typowano;25.0;80.0;0.0
19 kwi;Sporting Gijon vs Cadiz;Spain 2;1.57 (1);75.5;52.8;51.9;Over 1.5 (76%);3:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;PRZEGRANA;25.0;80.0;-100.0
19 kwi;Zamora vs Osasuna B;Spain 3;1.65 (1);72.9;51.4;52.0;Over 1.5 (73%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19 kwi;Nissa vs Enna;Italy 4;1.5 (1);74.6;51.1;51.9;Over 1.5 (75%);3:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;PRZEGRANA;25.0;80.0;-100.0
19 kwi;AS Monaco vs Auxerre;France 1;1.55 (1);74.1;50.3;51.7;Over 1.5 (74%);2:2;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;80.0;75.0
19 kwi;XuÃ¢n Thiá»‡n PhÃº Thá» vs Long An;Vietnam 2;1.53 (1);72.5;49.2;51.9;Over 1.5 (72%);4:0;TAK;TAK;TAK;NIE;WYGRANA;Nie typowano;PRZEGRANA;25.0;0.0;-100.0
19 kwi;Alianza Atletico vs Sport Boys;Peru 1;1.75 (1);72.5;49.1;51.7;Over 1.5 (72%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;Nie typowano;PRZEGRANA;-100.0;0.0;-100.0
19 kwi;Latina vs Casertana;Italy 3;2.7 (2);71.6;48.8;52.4;Over 1.5 (72%);2:0;TAK;TAK;NIE;NIE;WYGRANA;Nie typowano;PRZEGRANA;25.0;0.0;-100.0
19 kwi;Eldense vs Cartagena;Spain 3;1.7 (1);72.9;48.8;52.0;Over 1.5 (73%);2:1;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
19 kwi;Bombada vs Greater Tomorrow;Gambia 1;1.8 (1);72.8;48.7;52.0;Over 1.5 (73%);-;-;-;-;-;Brak;Brak;Brak;0.0;0.0;0.0
20 kwi;Colo Colo vs Palestino;Chile 1;1.7 (1);73.3;48.7;51.8;Over 1.5 (73%);-;-;-;-;-;Brak;Brak;Brak;0.0;0.0;0.0
19 kwi;FC Hirnyk vs Rukh Vynnyky;Ukraine 1;1.8 (1);72.1;48.6;52.4;Over 1.5 (72%);3:0;TAK;TAK;TAK;NIE;WYGRANA;Nie typowano;PRZEGRANA;25.0;0.0;-100.0
19 kwi;İstanbulspor vs SarÄ±yer;Turkey 2;2.37 (2);71.5;47.7;51.5;Over 1.5 (72%);3:1;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
19 kwi;Camberene vs Teungueth;Senegal 1;2.3 (2);71.7;47.6;51.0;Over 1.5 (72%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;Nie typowano;PRZEGRANA;-100.0;0.0;-100.0
19 kwi;IÄŸdÄ±r FK vs Pendikspor;Turkey 2;3.0 (2);72.7;47.5;51.3;Over 1.5 (73%);1:1;TAK;TAK;NIE;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
19 kwi;Pro Vercelli vs Ospitaletto;Italy 3;3.1 (2);73.9;47.5;50.6;Over 1.5 (74%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;Nie typowano;PRZEGRANA;-100.0;0.0;-100.0
19 kwi;Valenzana vs Lavagnese;Italy 4;3.0 (1);72.4;47.3;51.4;Over 1.5 (72%);2:0;TAK;TAK;NIE;NIE;WYGRANA;Nie typowano;PRZEGRANA;25.0;0.0;-100.0
19 kwi;Monopoli vs Foggia;Italy 3;2.0 (1);72.2;47.3;51.9;Over 1.5 (72%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;Nie typowano;PRZEGRANA;-100.0;0.0;-100.0
19 kwi;VfB Stuttgart II vs Erzgebirge Aue;Germany 3;1.9 (1);72.3;47.1;50.5;Over 1.5 (72%);2:2;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
20 kwi;Talleres vs Deportivo Riestra;Argentina 1;1.9 (1);71.1;46.9;51.9;Over 1.5 (71%);-;-;-;-;-;Brak;Brak;Brak;0.0;0.0;0.0
19 kwi;Pogon Grodzisk Mazowiecki vs Pogoń Siedlce;Poland 2;1.95 (1);72.4;46.7;52.4;Over 1.5 (72%);0:2;TAK;TAK;NIE;NIE;WYGRANA;Nie typowano;PRZEGRANA;25.0;0.0;-100.0
19 kwi;Metz vs Paris FC;France 1;2.2 (2);73.9;46.6;51.9;Over 1.5 (74%);1:3;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
19 kwi;Werder Bremen II vs Bremer SV;Germany 4;2.15 (1);69.8;46.6;51.9;Over 1.5 (70%);1:2;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
19 kwi;Sasso Marconi vs Rovato Vertova;Italy 4;2.25 (2);73.1;46.5;51.4;Over 1.5 (73%);2:1;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
