Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
19:00;Yacoub El Mansour vs FAR Rabat;Morocco 1;1.5 (2);15.0;60.4;24.6;2;;;;X;2:2;PRZEGRANA;-100.0
18:30;Baghdad FC vs Al Zawraa;Iraq 1;1.5 (2);14.3;58.6;27.1;2;;;;X;2:2;PRZEGRANA;-100.0
16:00;Swift Hesperange vs F91 Dudelange;Luxembourg 1;1.53 (2);16.4;58.3;25.3;2;;;;2;0:3;WYGRANA;53.0
23:00;Deportivo Achuapa vs Antigua Guatemala;Guatemala 1;1.61 (2);18.8;56.9;24.3;2;;;;Brak/Odwolany;-;Odwolany;0.0
15:00;Baroka FC vs Kruger United;South Africa 2;1.75 (2);21.0;54.7;24.3;2;;;;2;0:3;WYGRANA;75.0
14:00;OFK Mladost Donja Gorica vs Mornar;Montenegro 1;1.75 (2);20.9;53.6;25.5;2;;;;2;1:2;WYGRANA;75.0
14:30;Juventus U23 vs Bra;Italy 3;1.7 (1);53.4;21.2;25.4;1;;;;X;2:2;PRZEGRANA;-100.0
15:00;HSC Hannover vs Luebeck;Germany 4;1.75 (2);25.1;52.4;22.5;2;;;;1;1:0;PRZEGRANA;-100.0
18:15;Cartagena vs Gimnastic;Spain 3;1.85 (1);52.3;22.5;25.2;1;;;;1;1:0;WYGRANA;85.0
14:00;Gandzasar vs Szirak;Armenia 1;1.85 (1);51.9;20.9;27.3;1;;;;1;3:2;WYGRANA;85.0
17:00;Mezokovesd SE vs FC Ajka;Hungary 2;1.85 (1);51.1;21.9;27.1;1;;;;X;1:1;PRZEGRANA;-100.0
13:00;Da Nang vs Viettel;Vietnam 1;1.85 (2);22.7;50.4;26.9;2;;;;X;3:3;PRZEGRANA;-100.0
15:30;FK Iskra vs OFK Mladost Ljeskopolje;Montenegro 2;1.8 (1);50.3;21.9;27.8;1;;;;X;0:0;PRZEGRANA;-100.0
15:00;Bremer SV vs Eintracht Norderstedt;Germany 4;2.0 (1);48.2;26.3;25.6;1;;;;1;2:0;WYGRANA;100.0
13:00;Chongqing Tongliang Long vs Qingdao Youth Island FC;China 1;1.9 (1);47.0;26.6;26.4;1;;;;X;1:1;PRZEGRANA;-100.0
10:30;Slovan Bratislava B vs Zilina B;Slovakia 2;2.25 (1);33.4;20.2;46.4;X;;;;1;4:2;PRZEGRANA;-100.0
20:30;Cerro Largo vs Racing;Uruguay 1;1.9 (2);26.6;44.8;28.6;2;;;;2;0:1;WYGRANA;90.0
20:00;Nueva Chicago vs Colegiales;Argentina 2;2.3 (1);43.5;29.9;26.6;1;;;;X;0:0;PRZEGRANA;-100.0
18:00;Casertana vs Giugliano;Italy 3;2.1 (1);42.1;29.8;28.0;1;;;;X;1:1;PRZEGRANA;-100.0
20:15;NK Bravo vs NK Maribor;Slovenia 1;3.25 (1);31.5;41.6;26.9;2;;;;1;3:0;PRZEGRANA;-100.0
22:30;River Plate vs Tecnico Universitario;Ecuador 1;2.15 (1);40.5;32.6;26.9;1;;;;Brak/Odwolany;-;Odwolany;0.0
17:00;Szentlorinc vs BVSC;Hungary 2;2.8 (2);40.2;34.5;25.2;1;;;;1;2:0;WYGRANA;0.0
13:30;Genclerbirligi vs Kocaelispor;Turkey 1;2.75 (2);40.2;37.3;22.5;1;;;;1;1:0;WYGRANA;0.0
16:15;Real Oviedo vs Elche;Spain 1;2.25 (1);39.9;29.4;30.7;1;;;;2;1:2;PRZEGRANA;-100.0
12:15;Excelsior vs FC Utrecht;Eredivisie;2.2 (2);33.2;39.4;27.4;2;;;;1;5:0;PRZEGRANA;-100.0
16:00;Bylis vs Teuta Durres;Albania 1;2.35 (1);38.9;31.8;29.3;1;;;;1;2:0;WYGRANA;135.0
