Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Kurs_Otwarcia;Delta_Kursu;Alert_Rynku
jutro 01:30;Union vs Newells Old Boys;Argentina 1;1.55 (1);57.4;15.8;26.7;1;;;
15:00;Free State Stars vs Black Leopards;South Africa 2;1.57 (1);57.0;20.5;22.5;1;;;
17:45;Slaven vs Hajduk Split;Croatia 1;1.66 (2);21.0;54.8;24.2;2;;;
18:45;MC El Bayadh vs Paradou AC;Algeria 1;1.75 (1);54.1;20.3;25.6;1;;;
20:00;Montpellier vs Grenoble;France 2;1.7 (1);53.5;20.9;25.6;1;;;
19:00;Gloggnitz vs Oberwart;Austria 3;1.72 (1);53.2;20.6;26.2;1;;;
16:00;Lyngby U19 vs FC Koebenhavn U19;Denmark Youth 1;1.7 (2);19.8;52.6;27.6;2;;;
10:30;Bhayangkara Surabaya United vs PSIM Yogyakarta;Indonesia 1;1.75 (1);51.9;20.8;27.3;1;;;
20:00;Genk U23 vs Jong Gent;Belgium 2;2.15 (1);51.6;24.1;24.3;1;;;
19:45;Viseu vs Feirense;Portugal 2;1.72 (1);51.6;21.2;27.2;1;;;
16:00;Al Mosul vs Baghdad FC;Iraq 1;1.85 (1);50.5;23.2;26.3;1;;;
16:00;Belasitsa Petrich vs Etar;Bulgaria 2;1.66 (2);20.4;50.3;29.3;2;;;
20:00;KFCO Beerschot-Wilrijk vs Lommel;Belgium 2;1.83 (1);49.9;22.9;27.2;1;;;
11:45;Dandenong City vs Green Gully Cavaliers;Australia 2;1.95 (1);49.3;25.3;25.4;1;;;
20:00;Anderlecht U23 vs Olympic Charleroi;Belgium 2;1.85 (1);49.2;26.2;24.6;1;;;
20:45;Dundalk vs Galway United FC;Ireland 1;1.9 (1);48.8;25.0;26.2;1;;;
18:00;Siroki Brijeg vs Rudar Prijedor;Bosnia-Herzegovina 1;1.75 (1);48.4;25.4;26.2;1;;;
19:00;SC Weiz vs Wolfsberger AC (A);Austria 3;1.95 (1);47.7;25.0;27.2;1;;;
19:00;Velden vs Ried (A);Austria 3;1.95 (1);47.7;24.5;27.7;1;;;
14:00;Hapoel Kfar Shalem vs Maccabi Kabilio Jaffa;Israel 2;2.0 (1);47.0;22.9;30.2;1;;;
18:30;Al Najaf vs Newroz;Iraq 1;1.75 (2);23.4;46.9;29.6;2;;;
19:30;Aubagne vs Orleans;France 3;1.95 (2);25.6;46.5;27.9;2;;;
15:00;Araz vs Turan Tovuz;Azerbaijan 1;1.95 (2);25.9;46.0;28.2;2;;;
15:00;Marines vs AS Kigali;Rwanda 1;1.9 (1);45.1;30.0;24.9;1;;;
19:00;Jahn Regensburg vs Alemannia Aachen;Germany 3;2.3 (2);30.4;44.7;25.0;2;;;
19:30;Chauray vs St. Malo;France 4;2.1 (2);30.4;44.0;25.6;2;;;
15:30;HNK Gorica vs NK Lokomotiva Zagrzeb;Croatia 1;2.15 (1);43.4;31.2;25.4;1;;;
20:00;Stoke City U21 vs Aston Villa U21;England Reserve 1;1.95 (2);29.0;43.1;27.9;2;;;
17:30;Zira vs FK Neftczi;Azerbaijan 1;2.4 (2);28.9;42.5;28.7;2;;;
20:00;FC Oss vs FC Den Bosch;Netherlands 2;2.3 (2);33.2;42.4;24.3;2;;;
19:00;FCM Arkadia Traiskirchen vs SR Donaufeld;Austria 3;2.25 (2);31.9;41.9;26.2;2;;;
18:00;Floridsdorfer AC vs Amstetten;Austria 2;2.9 (2);32.9;41.3;25.9;2;;;
19:30;Concarneau vs Rouen;France 3;2.2 (2);30.8;41.2;28.0;2;;;
14:00;Horriya vs Umayya;Syria 1;3.6 (2);40.9;30.8;28.3;1;;;
16:00;MSP Batna vs US Biskra;Algeria 2;2.3 (1);40.8;30.7;28.5;1;;;
19:30;Quevilly vs Le Puy;France 3;2.2 (2);33.1;39.7;27.2;2;;;
18:00;Chrobry Głogów vs Stal Mielec;Poland 2;2.62 (2);31.9;38.9;29.3;2;;;
17:00;Lokomotiv G. Oryahovitsa vs Yantra;Bulgaria 2;2.15 (2);33.7;38.2;28.0;2;;;
20:00;Everton Academy vs Ipswich Town U21;England Reserve 1;2.62 (2);38.0;33.0;29.0;1;;;
